score,max_tile,board_state
520,64,[1 3 2 4 2 4 6 1 1 2 4 2 4 1 2 3]
672,64,[4 2 1 2 3 6 5 3 2 5 1 2 1 4 2 1]
1040,128,[1 2 3 2 2 7 2 3 4 3 4 2 1 2 5 3]
1368,128,[1 4 1 2 2 7 2 1 3 4 5 4 2 6 3 1]
644,64,[2 1 4 2 4 3 6 3 1 5 4 1 2 3 2 3]
980,64,[1 3 4 2 3 5 6 3 2 6 5 1 1 2 3 2]
2424,256,[3 2 5 3 2 8 6 5 3 4 3 2 1 3 2 1]
964,64,[2 6 2 1 5 3 5 3 4 2 6 2 2 1 3 1]
2824,256,[1 2 6 1 4 6 1 2 6 3 8 3 1 4 2 1]
800,64,[1 4 2 1 3 5 4 2 5 6 2 3 1 2 5 1]
632,64,[2 4 1 2 4 5 2 1 1 2 6 4 4 1 2 1]
1076,128,[1 3 4 3 2 7 5 2 3 4 2 4 1 2 3 2]
1592,128,[1 2 3 1 3 4 1 6 6 7 3 1 2 3 5 2]
1420,128,[1 2 5 2 3 4 7 1 2 5 6 4 1 2 3 1]
2092,256,[2 1 3 1 3 2 1 5 2 5 8 3 1 2 3 2]
632,64,[1 2 4 1 2 4 6 3 3 5 4 2 1 3 2 1]
560,64,[3 2 3 1 2 3 6 2 1 4 2 3 2 1 5 2]
1220,128,[1 3 5 3 3 7 4 1 1 5 3 5 2 1 2 1]
716,64,[1 2 3 1 2 4 5 2 6 3 4 3 1 5 3 1]
1092,128,[2 1 3 1 1 4 2 5 2 5 7 2 1 3 2 1]
1180,128,[1 4 2 1 4 2 3 2 3 7 5 4 1 5 2 1]
196,32,[3 2 1 3 1 3 5 1 2 1 2 3 1 2 3 1]
1488,128,[1 2 5 1 4 6 3 2 3 4 7 1 2 5 1 4]
2452,256,[1 2 4 1 5 3 5 3 2 8 4 2 1 2 3 6]
1392,128,[1 2 4 1 2 7 6 4 4 5 3 2 2 3 4 1]
1044,128,[1 4 2 1 3 7 4 3 4 1 3 2 1 2 5 1]
1108,128,[1 2 3 4 2 7 2 1 4 5 4 3 2 4 3 2]
